BasketItem,Basket Produce Line,Basket Product Group Desc,Basket Product Line Desc,Basket Product Sub Group Desc,Basket Product Type Desc,Basket Item Desc
CR-10877,1,Snacks,Food,Chocolate Candy,Candy,Thresher Malted Milk Balls
CR-10877,1,Snacks,Drink,Chocolate Candy,Candy,Thresher Malted Milk Balls
CR-10999,1,Dairy,Food,Yogurt,Dairy,Even Better Strawberry Yogurt
CR-10999,1,Dairy,Drink,Yogurt,Dairy,Even Better Strawberry Yogurt
CR-10678,2,Dairy,Food,Milk,Dairy,Gorilla 2% Milk
CR-10678,2,Dairy,Drink,Milk,Dairy,Gorilla 2% Milk
CR-10296,2,Beverages,Food,Coffee,Hot Beverages,Super Columbian Coffee
CR-10296,2,Beverages,Drink,Coffee,Hot Beverages,Super Columbian Coffee
CR-10911,1,Baking Goods,Food,Peanut Butter,Jams and Jellies,BBB Best Chunky Peanut Butter
CR-10911,1,Baking Goods,Drink,Peanut Butter,Jams and Jellies,BBB Best Chunky Peanut Butter
CR-10679,2,Dairy,Food,Milk,Dairy,Gorilla Buttermilk
CR-10679,2,Dairy,Drink,Milk,Dairy,Gorilla Buttermilk
CR-10651,1,Canned Foods,Food,Soup,Canned Soup,Bravo Chicken Ramen Soup
CR-10651,1,Canned Foods,Drink,Soup,Canned Soup,Bravo Chicken Ramen Soup
CR-10227,1,Snack Foods,Food,Cookies,Snack Foods,Best Choice Graham Crackers
CR-10227,1,Snack Foods,Drink,Cookies,Snack Foods,Best Choice Graham Crackers
CR-10728,1,Frozen Foods,Food,Frozen Vegetables,Vegetables,Imagine Frozen Broccoli
CR-10728,1,Frozen Foods,Drink,Frozen Vegetables,Vegetables,Imagine Frozen Broccoli
CR-10645,1,Canned Foods,Food,Soup,Canned Soup,Bravo Noodle Soup
CR-10645,1,Canned Foods,Drink,Soup,Canned Soup,Bravo Noodle Soup
CR-10258,1,Snacks,Food,Hard Candy,Candy,Choice Spicy Mints
CR-10258,1,Snacks,Drink,Hard Candy,Candy,Choice Spicy Mints
CR-10959,1,Canned Foods,Food,Soup,Canned Soup,Just Right Vegetable Soup
CR-10959,1,Canned Foods,Drink,Soup,Canned Soup,Just Right Vegetable Soup
CR-10267,2,Alcoholic Beverages,Food,Wine,Beer and Wine,Good Light Wine
CR-10267,2,Alcoholic Beverages,Drink,Wine,Beer and Wine,Good Light Wine
CR-10329,1,Canned Foods,Food,Canned Vegetables,Vegetables,Better Canned String Beans
CR-10329,1,Canned Foods,Drink,Canned Vegetables,Vegetables,Better Canned String Beans
CR-10892,1,Starchy Foods,Food,Rice,Starchy Foods,Discover Rice Medly
CR-10892,1,Starchy Foods,Drink,Rice,Starchy Foods,Discover Rice Medly
CR-10855,1,Snack Foods,Food,Dips,Snack Foods,Nationeel Avocado Dip
CR-10855,1,Snack Foods,Drink,Dips,Snack Foods,Nationeel Avocado Dip
CR-10609,1,Baking Goods,Food,Spices,Baking Goods,Landslide Pepper
CR-10609,1,Baking Goods,Drink,Spices,Baking Goods,Landslide Pepper
CR-10505,1,Produce,Food,Tofu,Packaged Vegetables,Tell Tale Firm Tofu
CR-10505,1,Produce,Drink,Tofu,Packaged Vegetables,Tell Tale Firm Tofu
CR-10929,1,Baking Goods,Food,Spices,Baking Goods,BBB Best Oregano
CR-10929,1,Baking Goods,Drink,Spices,Baking Goods,BBB Best Oregano
CR-10860,1,Snack Foods,Food,Dried Meat,Snack Foods,Nationeel Beef Jerky
CR-10860,1,Snack Foods,Drink,Dried Meat,Snack Foods,Nationeel Beef Jerky
CR-10186,1,Produce,Food,Fresh Vegetables,Vegetables,High Top Cauliflower
CR-10186,1,Produce,Drink,Fresh Vegetables,Vegetables,High Top Cauliflower
CR-10565,1,Snacks,Food,Chocolate Candy,Candy,Atomic Mint Chocolate Bar
CR-10565,1,Snacks,Drink,Chocolate Candy,Candy,Atomic Mint Chocolate Bar
CR-10067,1,Deli,Food,Hot Dogs,Meat,Red Spade Turkey Hot Dogs
CR-10067,1,Deli,Drink,Hot Dogs,Meat,Red Spade Turkey Hot Dogs
CR-10928,1,Baking Goods,Food,Preserves,Jams and Jellies,BBB Best Apple Butter
CR-10928,1,Baking Goods,Drink,Preserves,Jams and Jellies,BBB Best Apple Butter
CR-10709,1,Frozen Foods,Food,Pizza,Pizza,Imagine Frozen Sausage Pizza
CR-10709,1,Frozen Foods,Drink,Pizza,Pizza,Imagine Frozen Sausage Pizza
CR-10110,1,Frozen Foods,Food,Frozen Chicken,Meat,Golden Frozen Chicken Thighs
CR-10110,1,Frozen Foods,Drink,Frozen Chicken,Meat,Golden Frozen Chicken Thighs
CR-10578,2,Alcoholic Beverages,Food,Wine,Beer and Wine,Walrus Light Wine
CR-10578,2,Alcoholic Beverages,Drink,Wine,Beer and Wine,Walrus Light Wine
CR-10588,1,Baked Goods,Food,Muffins,Bread,Colony English Muffins
CR-10588,1,Baked Goods,Drink,Muffins,Bread,Colony English Muffins
CR-10377,1,Deli,Food,Bologna,Meat,Moms Low Fat Bologna
CR-10377,1,Deli,Drink,Bologna,Meat,Moms Low Fat Bologna
CR-10019,1,Canned Foods,Food,Soup,Canned Soup,Blue Label Chicken Soup
CR-10019,1,Canned Foods,Drink,Soup,Canned Soup,Blue Label Chicken Soup
CR-10020,1,Canned Foods,Food,Canned Vegetables,Vegetables,Blue Label Canned Yams
CR-10020,1,Canned Foods,Drink,Canned Vegetables,Vegetables,Blue Label Canned Yams
CR-10178,1,Produce,Food,Fresh Vegetables,Vegetables,High Top Onions
CR-10178,1,Produce,Drink,Fresh Vegetables,Vegetables,High Top Onions
CR-10923,2,Beverages,Food,Coffee,Hot Beverages,BBB Best Columbian Coffee
CR-10923,2,Beverages,Drink,Coffee,Hot Beverages,BBB Best Columbian Coffee
CR-10317,2,Beverages,Food,Soda,Carbonated Beverages,Excellent Cola
CR-10317,2,Beverages,Drink,Soda,Carbonated Beverages,Excellent Cola
CR-10704,1,Frozen Foods,Food,Waffles,Breakfast Foods,Imagine Low Fat Waffles
CR-10704,1,Frozen Foods,Drink,Waffles,Breakfast Foods,Imagine Low Fat Waffles
CR-10630,2,Beverages,Food,Juice,Pure Juice Beverages,Token Orange Juice
CR-10630,2,Beverages,Drink,Juice,Pure Juice Beverages,Token Orange Juice
CR-10190,1,Produce,Food,Fresh Vegetables,Vegetables,High Top Dried Mushrooms
CR-10190,1,Produce,Drink,Fresh Vegetables,Vegetables,High Top Dried Mushrooms
CR-10543,1,Snack Foods,Food,Dips,Snack Foods,Fast Salsa Dip
CR-10543,1,Snack Foods,Drink,Dips,Snack Foods,Fast Salsa Dip
CR-10808,1,Produce,Food,Fresh Vegetables,Vegetables,Ebony Cauliflower
CR-10808,1,Produce,Drink,Fresh Vegetables,Vegetables,Ebony Cauliflower
CR-10106,1,Frozen Foods,Food,Frozen Vegetables,Vegetables,Golden Frozen Broccoli
CR-10106,1,Frozen Foods,Drink,Frozen Vegetables,Vegetables,Golden Frozen Broccoli
CR-11112,1,Deli,Food,Deli Salads,Side Dishes,American Cole Slaw
CR-11112,1,Deli,Drink,Deli Salads,Side Dishes,American Cole Slaw
CR-10375,1,Deli,Food,Bologna,Meat,Moms Pimento Loaf
CR-10375,1,Deli,Drink,Bologna,Meat,Moms Pimento Loaf
CR-10374,1,Deli,Food,Hot Dogs,Meat,Moms Chicken Hot Dogs
CR-10374,1,Deli,Drink,Hot Dogs,Meat,Moms Chicken Hot Dogs
CR-10681,2,Dairy,Food,Milk,Dairy,Gorilla 1% Milk
CR-10681,2,Dairy,Drink,Milk,Dairy,Gorilla 1% Milk
CR-10490,1,Produce,Food,Fresh Vegetables,Vegetables,Tell Tale Green Pepper
CR-10490,1,Produce,Drink,Fresh Vegetables,Vegetables,Tell Tale Green Pepper
CR-10515,1,Produce,Food,Fresh Fruit,Fruit,Tell Tale Mandarin Oranges
CR-10515,1,Produce,Drink,Fresh Fruit,Fruit,Tell Tale Mandarin Oranges
CR-10492,1,Produce,Food,Fresh Vegetables,Vegetables,Tell Tale Lettuce
CR-10492,1,Produce,Drink,Fresh Vegetables,Vegetables,Tell Tale Lettuce
CR-10718,1,Frozen Foods,Food,TV Dinner,Frozen Entrees,Imagine Turkey TV Dinner
CR-10718,1,Frozen Foods,Drink,TV Dinner,Frozen Entrees,Imagine Turkey TV Dinner
CR-10105,1,Frozen Foods,Food,Frozen Vegetables,Vegetables,Golden Frozen Cauliflower
CR-10105,1,Frozen Foods,Drink,Frozen Vegetables,Vegetables,Golden Frozen Cauliflower
CR-10943,2,Beverages,Food,Soda,Carbonated Beverages,Fabulous Diet Soda
CR-10943,2,Beverages,Drink,Soda,Carbonated Beverages,Fabulous Diet Soda
CR-10945,2,Beverages,Food,Soda,Carbonated Beverages,Fabulous Diet Cola
CR-10945,2,Beverages,Drink,Soda,Carbonated Beverages,Fabulous Diet Cola
CR-10940,2,Beverages,Food,Flavored Drinks,Drinks,Fabulous Mango Drink
CR-10940,2,Beverages,Drink,Flavored Drinks,Drinks,Fabulous Mango Drink
CR-10015,1,Breakfast Foods,Food,Cereal,Breakfast Foods,Jeffers Grits
CR-10015,1,Breakfast Foods,Drink,Cereal,Breakfast Foods,Jeffers Grits
CR-10416,1,Frozen Foods,Food,Frozen Vegetables,Vegetables,Big Time Frozen Cauliflower
CR-10416,1,Frozen Foods,Drink,Frozen Vegetables,Vegetables,Big Time Frozen Cauliflower
CR-10692,1,Deli,Food,Deli Salads,Side Dishes,Cutting Edge Cole Slaw
CR-10692,1,Deli,Drink,Deli Salads,Side Dishes,Cutting Edge Cole Slaw
CR-10816,1,Produce,Food,Tofu,Packaged Vegetables,Ebony Firm Tofu
CR-10816,1,Produce,Drink,Tofu,Packaged Vegetables,Ebony Firm Tofu
CR-10818,1,Produce,Food,Fresh Fruit,Fruit,Ebony Macintosh Apples
CR-10818,1,Produce,Drink,Fresh Fruit,Fruit,Ebony Macintosh Apples
CR-10061,1,Dairy,Food,Yogurt,Dairy,Club Strawberry Yogurt
CR-10061,1,Dairy,Drink,Yogurt,Dairy,Club Strawberry Yogurt
CR-10502,1,Produce,Food,Fresh Vegetables,Vegetables,Tell Tale Fresh Lima Beans
CR-10502,1,Produce,Drink,Fresh Vegetables,Vegetables,Tell Tale Fresh Lima Beans
CR-10007,2,Beverages,Food,Soda,Carbonated Beverages,Washington Diet Cola
CR-10007,2,Beverages,Drink,Soda,Carbonated Beverages,Washington Diet Cola
CR-10517,1,Produce,Food,Nuts,Specialty,Tell Tale Canned Peanuts
CR-10517,1,Produce,Drink,Nuts,Specialty,Tell Tale Canned Peanuts
CR-10203,1,Produce,Food,Fresh Vegetables,Vegetables,High Top Broccoli
CR-10203,1,Produce,Drink,Fresh Vegetables,Vegetables,High Top Broccoli
CR-10205,1,Produce,Food,Nuts,Specialty,High Top Mixed Nuts
CR-10205,1,Produce,Drink,Nuts,Specialty,High Top Mixed Nuts
CR-10034,1,Canned Foods,Food,Clams,Canned Clams,Blue Label Fancy Canned Clams
CR-10034,1,Canned Foods,Drink,Clams,Canned Clams,Blue Label Fancy Canned Clams
CR-10052,1,Dairy,Food,Cheese,Dairy,Club Cheese Spread
CR-10052,1,Dairy,Drink,Cheese,Dairy,Club Cheese Spread
CR-10095,1,Frozen Foods,Food,Frozen Vegetables,Vegetables,Golden Frozen Carrots
CR-10095,1,Frozen Foods,Drink,Frozen Vegetables,Vegetables,Golden Frozen Carrots
CR-10831,1,Produce,Food,Fresh Fruit,Fruit,Ebony Honey Dew
CR-10831,1,Produce,Drink,Fresh Fruit,Fruit,Ebony Honey Dew
CR-10069,1,Deli,Food,Deli Salads,Side Dishes,Red Spade Low Fat Cole Slaw
CR-10069,1,Deli,Drink,Deli Salads,Side Dishes,Red Spade Low Fat Cole Slaw
CR-10028,1,Canned Foods,Food,Canned Vegetables,Vegetables,Blue Label Canned Peas
CR-10028,1,Canned Foods,Drink,Canned Vegetables,Vegetables,Blue Label Canned Peas
CR-10950,1,Breakfast Foods,Food,Cereal,Breakfast Foods,Special Oatmeal
CR-10950,1,Breakfast Foods,Drink,Cereal,Breakfast Foods,Special Oatmeal
CR-10017,1,Canned Foods,Food,Canned Vegetables,Vegetables,Blue Label Creamed Corn
CR-10017,1,Canned Foods,Drink,Canned Vegetables,Vegetables,Blue Label Creamed Corn
CR-10009,2,Beverages,Food,Juice,Pure Juice Beverages,Washington Cranberry Juice
CR-10009,2,Beverages,Drink,Juice,Pure Juice Beverages,Washington Cranberry Juice
CR-10240,1,Snack Foods,Food,Chips,Snack Foods,Best Choice Low Fat Chips
CR-10240,1,Snack Foods,Drink,Chips,Snack Foods,Best Choice Low Fat Chips
CR-10064,1,Deli,Food,Bologna,Meat,Red Spade Pimento Loaf
CR-10064,1,Deli,Drink,Bologna,Meat,Red Spade Pimento Loaf
CR-10062,1,Dairy,Food,Yogurt,Dairy,Club Blueberry Yogurt
CR-10062,1,Dairy,Drink,Yogurt,Dairy,Club Blueberry Yogurt
CR-10890,1,Starchy Foods,Food,Pasta,Starchy Foods,Discover Spaghetti
CR-10890,1,Starchy Foods,Drink,Pasta,Starchy Foods,Discover Spaghetti
CR-10325,1,Breakfast Foods,Food,Cereal,Breakfast Foods,Best Wheat Puffs
CR-10325,1,Breakfast Foods,Drink,Cereal,Breakfast Foods,Best Wheat Puffs
CR-10244,1,Snack Foods,Food,Dried Fruit,Snack Foods,Best Choice Apple Fruit Roll
CR-10244,1,Snack Foods,Drink,Dried Fruit,Snack Foods,Best Choice Apple Fruit Roll
CR-10033,1,Canned Foods,Food,Anchovies,Canned Anchovies,Blue Label Fancy Canned Anchovies
CR-10033,1,Canned Foods,Drink,Anchovies,Canned Anchovies,Blue Label Fancy Canned Anchovies
CR-10618,1,Baking Goods,Food,Peanut Butter,Jams and Jellies,Landslide Creamy Peanut Butter
CR-10618,1,Baking Goods,Drink,Peanut Butter,Jams and Jellies,Landslide Creamy Peanut Butter
CR-10593,1,Baked Goods,Food,Sliced Bread,Bread,Colony Wheat Bread
CR-10593,1,Baked Goods,Drink,Sliced Bread,Bread,Colony Wheat Bread
CR-10025,1,Canned Foods,Food,Soup,Canned Soup,Blue Label Chicken Noodle Soup
CR-10025,1,Canned Foods,Drink,Soup,Canned Soup,Blue Label Chicken Noodle Soup
CR-10057,2,Dairy,Food,Milk,Dairy,Club Buttermilk
CR-10057,2,Dairy,Drink,Milk,Dairy,Club Buttermilk
CR-10006,2,Beverages,Food,Soda,Carbonated Beverages,Washington Cola
CR-10006,2,Beverages,Drink,Soda,Carbonated Beverages,Washington Cola
CR-10991,1,Dairy,Food,Cheese,Dairy,Even Better Sharp Cheddar Cheese
CR-10991,1,Dairy,Drink,Cheese,Dairy,Even Better Sharp Cheddar Cheese
CR-10951,1,Breakfast Foods,Food,Cereal,Breakfast Foods,Special Corn Puffs
CR-10951,1,Breakfast Foods,Drink,Cereal,Breakfast Foods,Special Corn Puffs
CR-10005,2,Beverages,Food,Soda,Carbonated Beverages,Washington Diet Soda
CR-10005,2,Beverages,Drink,Soda,Carbonated Beverages,Washington Diet Soda
CR-10002,2,Beverages,Food,Flavored Drinks,Drinks,Washington Mango Drink
CR-10002,2,Beverages,Drink,Flavored Drinks,Drinks,Washington Mango Drink
CR-10060,2,Dairy,Food,Milk,Dairy,Club Whole Milk
CR-10060,2,Dairy,Drink,Milk,Dairy,Club Whole Milk
CR-10617,1,Baking Goods,Food,Jam,Jams and Jellies,Landslide Strawberry Jam
CR-10617,1,Baking Goods,Drink,Jam,Jams and Jellies,Landslide Strawberry Jam
CR-10804,1,Produce,Food,Fresh Vegetables,Vegetables,Ebony Elephant Garlic
CR-10804,1,Produce,Drink,Fresh Vegetables,Vegetables,Ebony Elephant Garlic
CR-10592,1,Baked Goods,Food,Muffins,Bread,Colony Blueberry Muffins
CR-10592,1,Baked Goods,Drink,Muffins,Bread,Colony Blueberry Muffins
CR-10853,1,Snack Foods,Food,Popcorn,Snack Foods,Nationeel Low Fat Popcorn
CR-10853,1,Snack Foods,Drink,Popcorn,Snack Foods,Nationeel Low Fat Popcorn
CR-10553,1,Snack Foods,Food,Cookies,Snack Foods,Fast Frosted Cookies
CR-10553,1,Snack Foods,Drink,Cookies,Snack Foods,Fast Frosted Cookies
CR-10591,1,Baked Goods,Food,Bagels,Bread,Colony Bagels
CR-10591,1,Baked Goods,Drink,Bagels,Bread,Colony Bagels
CR-10594,1,Baking Goods,Food,Cooking Oil,Baking Goods,Landslide Sesame Oil
CR-10594,1,Baking Goods,Drink,Cooking Oil,Baking Goods,Landslide Sesame Oil
CR-10913,1,Baking Goods,Food,Sugar,Baking Goods,BBB Best Brown Sugar
CR-10913,1,Baking Goods,Drink,Sugar,Baking Goods,BBB Best Brown Sugar
CR-10589,1,Baked Goods,Food,Muffins,Bread,Colony Cranberry Muffins
CR-10589,1,Baked Goods,Drink,Muffins,Bread,Colony Cranberry Muffins
CR-10902,1,Baked Goods,Food,Sliced Bread,Bread,Fantastic White Bread
CR-10902,1,Baked Goods,Drink,Sliced Bread,Bread,Fantastic White Bread
CR-10524,1,Produce,Food,Fresh Fruit,Fruit,Tell Tale Tangerines
CR-10524,1,Produce,Drink,Fresh Fruit,Fruit,Tell Tale Tangerines
CR-10495,1,Produce,Food,Fresh Vegetables,Vegetables,Tell Tale Garlic
CR-10495,1,Produce,Drink,Fresh Vegetables,Vegetables,Tell Tale Garlic
CR-10507,1,Produce,Food,Fresh Fruit,Fruit,Tell Tale Macintosh Apples
CR-10507,1,Produce,Drink,Fresh Fruit,Fruit,Tell Tale Macintosh Apples
CR-10635,1,Breakfast Foods,Food,Cereal,Breakfast Foods,Radius Corn Puffs
CR-10635,1,Breakfast Foods,Drink,Cereal,Breakfast Foods,Radius Corn Puffs
CR-10982,1,Dairy,Food,Sour Cream,Dairy,Even Better Low Fat Sour Cream
CR-10982,1,Dairy,Drink,Sour Cream,Dairy,Even Better Low Fat Sour Cream
CR-10489,1,Produce,Food,Fresh Vegetables,Vegetables,Tell Tale Onions
CR-10489,1,Produce,Drink,Fresh Vegetables,Vegetables,Tell Tale Onions
CR-10519,1,Produce,Food,Fresh Fruit,Fruit,Tell Tale Cantelope
CR-10519,1,Produce,Drink,Fresh Fruit,Fruit,Tell Tale Cantelope
CR-10500,1,Produce,Food,Fresh Vegetables,Vegetables,Tell Tale Baby Onion
CR-10500,1,Produce,Drink,Fresh Vegetables,Vegetables,Tell Tale Baby Onion
CR-10558,1,Snack Foods,Food,Dried Fruit,Snack Foods,Fast Grape Fruit Roll
CR-10558,1,Snack Foods,Drink,Dried Fruit,Snack Foods,Fast Grape Fruit Roll
CR-10819,1,Produce,Food,Fresh Fruit,Fruit,Ebony Golden Delcious Apples
CR-10819,1,Produce,Drink,Fresh Fruit,Fruit,Ebony Golden Delcious Apples
CR-10501,1,Produce,Food,Fresh Vegetables,Vegetables,Tell Tale Dried Mushrooms
CR-10501,1,Produce,Drink,Fresh Vegetables,Vegetables,Tell Tale Dried Mushrooms
CR-10845,1,Snack Foods,Food,Cookies,Snack Foods,Nationeel Fudge Cookies
CR-10845,1,Snack Foods,Drink,Cookies,Snack Foods,Nationeel Fudge Cookies
CR-10861,1,Snack Foods,Food,Donuts,Snack Foods,Nationeel Chocolate Donuts
CR-10861,1,Snack Foods,Drink,Donuts,Snack Foods,Nationeel Chocolate Donuts
CR-10899,2,Alcoholic Beverages,Food,Wine,Beer and Wine,Pearl White Zinfandel Wine
CR-10899,2,Alcoholic Beverages,Drink,Wine,Beer and Wine,Pearl White Zinfandel Wine
CR-10924,1,Baking Goods,Food,Jelly,Jams and Jellies,BBB Best Strawberry Jelly
CR-10924,1,Baking Goods,Drink,Jelly,Jams and Jellies,BBB Best Strawberry Jelly
CR-10967,1,Canned Foods,Food,Soup,Canned Soup,Just Right Chicken Ramen Soup
CR-10967,1,Canned Foods,Drink,Soup,Canned Soup,Just Right Chicken Ramen Soup
CR-10211,1,Produce,Food,Nuts,Specialty,High Top Walnuts
CR-10211,1,Produce,Drink,Nuts,Specialty,High Top Walnuts
CR-10834,1,Produce,Food,Fresh Fruit,Fruit,Ebony Oranges
CR-10834,1,Produce,Drink,Fresh Fruit,Fruit,Ebony Oranges
CR-10411,1,Frozen Foods,Food,Popsicles,Frozen Desserts,Big Time Grape Popsicles
CR-10411,1,Frozen Foods,Drink,Popsicles,Frozen Desserts,Big Time Grape Popsicles
CR-10201,1,Produce,Food,Fresh Fruit,Fruit,High Top Plums
CR-10201,1,Produce,Drink,Fresh Fruit,Fruit,High Top Plums
CR-10323,1,Breakfast Foods,Food,Cereal,Breakfast Foods,Best Oatmeal
CR-10323,1,Breakfast Foods,Drink,Cereal,Breakfast Foods,Best Oatmeal
CR-10961,1,Canned Foods,Food,Soup,Canned Soup,Just Right Noodle Soup
CR-10961,1,Canned Foods,Drink,Soup,Canned Soup,Just Right Noodle Soup
CR-10176,1,Produce,Food,Fresh Vegetables,Vegetables,High Top Beets
CR-10176,1,Produce,Drink,Fresh Vegetables,Vegetables,High Top Beets
CR-10100,1,Frozen Foods,Food,Popsicles,Frozen Desserts,Golden Grape Popsicles
CR-10100,1,Frozen Foods,Drink,Popsicles,Frozen Desserts,Golden Grape Popsicles
CR-10021,1,Canned Foods,Food,Soup,Canned Soup,Blue Label Vegetable Soup
CR-10021,1,Canned Foods,Drink,Soup,Canned Soup,Blue Label Vegetable Soup
CR-10334,1,Canned Foods,Food,Soup,Canned Soup,Better Noodle Soup
CR-10334,1,Canned Foods,Drink,Soup,Canned Soup,Better Noodle Soup
CR-10104,1,Frozen Foods,Food,Ice Cream,Frozen Desserts,Golden Ice Cream Sandwich
CR-10104,1,Frozen Foods,Drink,Ice Cream,Frozen Desserts,Golden Ice Cream Sandwich
CR-10309,1,Baking Goods,Food,Peanut Butter,Jams and Jellies,Super Extra Chunky Peanut Butter
CR-10309,1,Baking Goods,Drink,Peanut Butter,Jams and Jellies,Super Extra Chunky Peanut Butter
CR-10287,1,Baking Goods,Food,Sugar,Baking Goods,Super White Sugar
CR-10287,1,Baking Goods,Drink,Sugar,Baking Goods,Super White Sugar
CR-10641,1,Canned Foods,Food,Soup,Canned Soup,Bravo Chicken Soup
CR-10641,1,Canned Foods,Drink,Soup,Canned Soup,Bravo Chicken Soup
CR-10409,1,Frozen Foods,Food,TV Dinner,Frozen Entrees,Big Time Beef TV Dinner
CR-10409,1,Frozen Foods,Drink,TV Dinner,Frozen Entrees,Big Time Beef TV Dinner
CR-10235,1,Snack Foods,Food,Dips,Snack Foods,Best Choice Cheese Dip
CR-10235,1,Snack Foods,Drink,Dips,Snack Foods,Best Choice Cheese Dip
CR-10939,2,Beverages,Food,Juice,Pure Juice Beverages,Fabulous Berry Juice
CR-10939,2,Beverages,Drink,Juice,Pure Juice Beverages,Fabulous Berry Juice
CR-10312,2,Beverages,Food,Juice,Pure Juice Beverages,Excellent Berry Juice
CR-10312,2,Beverages,Drink,Juice,Pure Juice Beverages,Excellent Berry Juice
CR-10639,1,Canned Foods,Food,Canned Vegetables,Vegetables,Bravo Creamed Corn
CR-10639,1,Canned Foods,Drink,Canned Vegetables,Vegetables,Bravo Creamed Corn
CR-10520,1,Produce,Food,Fresh Fruit,Fruit,Tell Tale Honey Dew
CR-10520,1,Produce,Drink,Fresh Fruit,Fruit,Tell Tale Honey Dew
CR-10222,1,Snack Foods,Food,Cookies,Snack Foods,Best Choice Chocolate Chip Cookies
CR-10222,1,Snack Foods,Drink,Cookies,Snack Foods,Best Choice Chocolate Chip Cookies
CR-10807,1,Produce,Food,Fresh Vegetables,Vegetables,Ebony Potatos
CR-10807,1,Produce,Drink,Fresh Vegetables,Vegetables,Ebony Potatos
CR-10386,1,Deli,Food,Deli Salads,Side Dishes,Moms Potato Salad
CR-10386,1,Deli,Drink,Deli Salads,Side Dishes,Moms Potato Salad
CR-10284,1,Baking Goods,Food,Peanut Butter,Jams and Jellies,Super Chunky Peanut Butter
CR-10284,1,Baking Goods,Drink,Peanut Butter,Jams and Jellies,Super Chunky Peanut Butter
CR-10108,1,Frozen Foods,Food,Frozen Vegetables,Vegetables,Golden Frozen Peas
CR-10108,1,Frozen Foods,Drink,Frozen Vegetables,Vegetables,Golden Frozen Peas
CR-10643,1,Canned Foods,Food,Soup,Canned Soup,Bravo Vegetable Soup
CR-10643,1,Canned Foods,Drink,Soup,Canned Soup,Bravo Vegetable Soup
CR-10823,1,Produce,Food,Fresh Fruit,Fruit,Ebony Plums
CR-10823,1,Produce,Drink,Fresh Fruit,Fruit,Ebony Plums
CR-10689,1,Deli,Food,Hot Dogs,Meat,Cutting Edge Turkey Hot Dogs
CR-10689,1,Deli,Drink,Hot Dogs,Meat,Cutting Edge Turkey Hot Dogs
CR-10074,1,Deli,Food,Deli Meats,Meat,Red Spade Sliced Ham
CR-10074,1,Deli,Drink,Deli Meats,Meat,Red Spade Sliced Ham
CR-10725,1,Frozen Foods,Food,Ice Cream,Frozen Desserts,Imagine Ice Cream
CR-10725,1,Frozen Foods,Drink,Ice Cream,Frozen Desserts,Imagine Ice Cream
CR-10308,1,Baking Goods,Food,Preserves,Jams and Jellies,Super Strawberry Preserves
CR-10308,1,Baking Goods,Drink,Preserves,Jams and Jellies,Super Strawberry Preserves
CR-10800,1,Produce,Food,Fresh Vegetables,Vegetables,Ebony Onions
CR-10800,1,Produce,Drink,Fresh Vegetables,Vegetables,Ebony Onions
CR-11008,1,Baked Goods,Food,Sliced Bread,Bread,American Pimento Loaf
CR-11008,1,Baked Goods,Drink,Sliced Bread,Bread,American Pimento Loaf
CR-10279,1,Baked Goods,Food,Muffins,Bread,Great Muffins
CR-10279,1,Baked Goods,Drink,Muffins,Bread,Great Muffins
CR-10076,1,Deli,Food,Deli Meats,Meat,Red Spade Sliced Chicken
CR-10076,1,Deli,Drink,Deli Meats,Meat,Red Spade Sliced Chicken
CR-10418,1,Frozen Foods,Food,Frozen Vegetables,Vegetables,Big Time Frozen Corn
CR-10418,1,Frozen Foods,Drink,Frozen Vegetables,Vegetables,Big Time Frozen Corn
CR-10322,2,Beverages,Food,Flavored Drinks,Drinks,Excellent Apple Drink
CR-10322,2,Beverages,Drink,Flavored Drinks,Drinks,Excellent Apple Drink
CR-10228,1,Snack Foods,Food,Crackers,Snack Foods,Best Choice Cheese Crackers
CR-10228,1,Snack Foods,Drink,Crackers,Snack Foods,Best Choice Cheese Crackers
CR-10180,1,Produce,Food,Fresh Vegetables,Vegetables,High Top Shitake Mushrooms
CR-10180,1,Produce,Drink,Fresh Vegetables,Vegetables,High Top Shitake Mushrooms
CR-10361,1,Dairy,Food,Cheese,Dairy,Carlson Havarti Cheese
CR-10361,1,Dairy,Drink,Cheese,Dairy,Carlson Havarti Cheese
CR-10354,1,Dairy,Food,Cottage Cheese,Dairy,Carlson Low Fat Cottage Cheese
CR-10354,1,Dairy,Drink,Cottage Cheese,Dairy,Carlson Low Fat Cottage Cheese
CR-10574,1,Starchy Foods,Food,Pasta,Starchy Foods,Shady Lake Spaghetti
CR-10574,1,Starchy Foods,Drink,Pasta,Starchy Foods,Shady Lake Spaghetti
CR-10843,1,Snack Foods,Food,Cookies,Snack Foods,Nationeel Sugar Cookies
CR-10843,1,Snack Foods,Drink,Cookies,Snack Foods,Nationeel Sugar Cookies
CR-10172,1,Produce,Food,Fresh Vegetables,Vegetables,High Top Corn on the Cob
CR-10172,1,Produce,Drink,Fresh Vegetables,Vegetables,High Top Corn on the Cob
CR-10688,1,Deli,Food,Bologna,Meat,Cutting Edge Low Fat Bologna
CR-10688,1,Deli,Drink,Bologna,Meat,Cutting Edge Low Fat Bologna
CR-10822,1,Produce,Food,Fresh Fruit,Fruit,Ebony Fancy Plums
CR-10822,1,Produce,Drink,Fresh Fruit,Fruit,Ebony Fancy Plums
