NoOfItem,MaxNoOfItem,Item-Branch Key,Order Number,DateKey
39,62,CR-10821,214128,38296
27,62,CR-10981,214128,38296
42,62,CR-10052,214128,38296
10,62,CR-10489,214128,38296
59,62,CR-10400,214128,38296
48,62,CR-10558,214128,38296
15,62,CR-10690,214128,38296
14,62,CR-10360,214128,38296
55,62,CR-10627,214128,38296
56,62,CR-10068,214128,38296
12,62,CR-10847,214128,38296
57,62,CR-10946,214128,38296
47,62,CR-10495,214128,38296
61,62,CR-10187,214128,38296
16,62,CR-10933,214128,38296
32,62,CR-10252,214128,38296
8,62,CR-10296,214128,38296
5,62,CR-10642,214128,38296
22,62,CR-10630,214128,38296
40,62,CR-10911,214128,38296
53,62,CR-10110,214128,38296
62,62,CR-10010,214128,38296
36,62,CR-10102,214128,38296
7,62,CR-10693,214128,38296
33,62,CR-10329,214128,38296
60,62,CR-10696,214128,38296
18,62,CR-10982,214128,38296
38,62,CR-10501,214128,38296
37,62,CR-10244,214128,38296
13,62,CR-10207,214128,38296
19,62,CR-10610,214128,38296
44,62,CR-10055,214128,38303
46,62,CR-10301,214128,38296
9,62,CR-10205,214128,38296
58,62,CR-10389,214128,38296
54,62,CR-10880,214128,38296
52,62,CR-10689,214128,38296
28,62,CR-10291,214128,38296
51,62,CR-10414,214128,38296
31,62,CR-10292,214128,38296
41,62,CR-10325,214128,38296
35,62,CR-10053,214128,38296
11,62,CR-10303,214128,38296
30,62,CR-10516,214128,38296
1,3,CR-10296,214955,38308
3,3,CR-10296,214955,38308
2,3,CR-10839,214955,38308
3,3,CR-10715,200996,38193
1,3,CR-10957,200996,38115
2,3,CR-10079,200996,38193
22,24,CR-10554,203397,38130
2,24,CR-10405,203397,38130
24,24,CR-10409,203397,38130
13,24,CR-10078,203397,38130
6,24,CR-10347,203397,38130
4,24,CR-10074,203397,38130
18,24,CR-10238,203397,38130
16,24,CR-10241,203397,38130
7,24,CR-10059,203397,38130
19,24,CR-10534,203397,38137
23,24,CR-10672,203397,38130
5,24,CR-10400,203397,38130
14,24,CR-10076,203397,38151
12,24,CR-10076,203397,38157
20,24,CR-10390,203397,38130
15,24,CR-10713,203397,38130
21,24,CR-10112,203397,38130
17,24,CR-10406,203397,38130
3,24,CR-10589,203397,38151
10,24,CR-10329,203397,38130
8,24,CR-10490,203397,38137
1,24,CR-10075,203397,38130
11,24,CR-10718,203397,38130
9,24,CR-10719,203397,38130
7,11,CR-10504,211920,38284
6,11,CR-10307,211920,38284
9,11,CR-10847,211920,38284
11,11,CR-10731,211920,38298
4,11,CR-10211,211920,38298
5,11,CR-11021,211920,38284
1,11,CR-10102,211920,38298
3,11,CR-10526,211920,38305
10,11,CR-10787,211920,38291
8,11,CR-10709,211920,38291
2,11,CR-10833,211920,38284
18,20,CR-10067,214129,38295
7,20,CR-10065,214129,38295
10,20,CR-10855,214129,38302
20,20,CR-10922,214129,38295
15,20,CR-10377,214129,38295
19,20,CR-10684,214129,38295
16,20,CR-10035,214129,38295
13,20,CR-10068,214129,38295
11,20,CR-10966,214129,38295
12,20,CR-10252,214129,38295
2,20,CR-10680,214129,38295
1,20,CR-10681,214129,38295
6,20,CR-10301,214129,38295
17,20,CR-10797,214129,38295
8,20,CR-10871,214129,38295
4,20,CR-10412,214129,38295
9,20,CR-10880,214129,38295
14,20,CR-10200,214129,38295
3,20,CR-10893,214129,38295
5,20,CR-10733,214129,38302
4,4,CR-10400,214956,38308
3,4,CR-10953,214956,38308
2,4,CR-10955,214956,38308
1,4,CR-10316,214956,38308
3,29,CR-10097,203419,38170
16,29,CR-10403,203419,38170
29,29,CR-10279,203419,38170
2,29,CR-10554,203419,38170
8,29,CR-10334,203419,38170
27,29,CR-10392,203419,38170
9,29,CR-10405,203419,38170
20,29,CR-10623,203419,38170
5,29,CR-10615,203419,38170
1,29,CR-10411,203419,38170
21,29,CR-10307,203419,38170
7,29,CR-10599,203419,38170
11,29,CR-10878,203419,38170
28,29,CR-10882,203419,38170
22,29,CR-10887,203419,38170
25,29,CR-10690,203419,38177
13,29,CR-10847,203419,38170
18,29,CR-10211,203419,38170
23,29,CR-10925,203419,38170
17,29,CR-10476,203419,38170
10,29,CR-10522,203419,38170
24,29,CR-10841,203419,38170
12,29,CR-10410,203419,38170
4,29,CR-10541,203419,38170
14,29,CR-10840,203419,38170
19,29,CR-10884,203419,38170
15,29,CR-10931,203419,38170
26,29,CR-10475,203419,38170
6,29,CR-10825,203419,38177
4,6,CR-10327,204547,38144
3,6,CR-11021,204547,38148
5,6,CR-10398,204547,38148
6,6,CR-10319,204547,38148
1,6,CR-10369,204547,38144
2,6,CR-11001,204547,38148
3,4,CR-10020,210408,38239
2,4,CR-10613,210408,38252
4,4,CR-10354,210408,38239
1,4,CR-10278,210408,38252
24,27,CR-10671,211923,38262
13,27,CR-10670,211923,38262
25,27,CR-10504,211923,38262
19,27,CR-10415,211923,38277
4,27,CR-10268,211923,38284
22,27,CR-10279,211923,38262
5,27,CR-10554,211923,38262
6,27,CR-10334,211923,38277
8,27,CR-10392,211923,38262
16,27,CR-10405,211923,38262
1,27,CR-10951,211923,38270
27,27,CR-10951,211923,38262
11,27,CR-10238,211923,38262
9,27,CR-10928,211923,38262
14,27,CR-10307,211923,38280
21,27,CR-10307,211923,38277
7,27,CR-10222,211923,38262
15,27,CR-10400,211923,38262
3,27,CR-10620,211923,38262
2,27,CR-10605,211923,38262
12,27,CR-10211,211923,38298
26,27,CR-10494,211923,38277
18,27,CR-10541,211923,38262
10,27,CR-10730,211923,38280
23,27,CR-10931,211923,38291
17,27,CR-10707,211923,38262
20,27,CR-10343,211923,38291
2,2,CR-10823,214138,38298
1,2,CR-10339,214138,38298
2,11,CR-10028,202050,38108
11,11,CR-10045,202050,38114
3,11,CR-10045,202050,38108
7,11,CR-10866,202050,38108
8,11,CR-10581,202050,38108
5,11,CR-10494,202050,38108
10,11,CR-10538,202050,38108
4,11,CR-10083,202050,38108
6,11,CR-10083,202050,38108
9,11,CR-10027,202050,38108
1,11,CR-10595,202050,38114
34,199,CR-10799,203422,38136
177,199,CR-10799,203422,38129
109,199,CR-10505,203422,38149
19,199,CR-10504,203422,38143
139,199,CR-10197,203422,38129
50,199,CR-10415,203422,38129
10,199,CR-10385,203422,38129
76,199,CR-10385,203422,38129
140,199,CR-10854,203422,38136
194,199,CR-10854,203422,38129
135,199,CR-10683,203422,38213
20,199,CR-10067,203422,38149
24,199,CR-10067,203422,38134
60,199,CR-10067,203422,38144
75,199,CR-10098,203422,38129
92,199,CR-10403,203422,38129
87,199,CR-10499,203422,38129
26,199,CR-10565,203422,38129
189,199,CR-10565,203422,38129
84,199,CR-10279,203422,38129
188,199,CR-10507,203422,38129
108,199,CR-10554,203422,38129
71,199,CR-10898,203422,38129
146,199,CR-10968,203422,38129
74,199,CR-10196,203422,38129
27,199,CR-10334,203422,38129
121,199,CR-10065,203422,38129
14,199,CR-10853,203422,38149
185,199,CR-10173,203422,38213
54,199,CR-10384,203422,38170
58,199,CR-10384,203422,38161
105,199,CR-10384,203422,38129
116,199,CR-10834,203422,38185
176,199,CR-10517,203422,38213
127,199,CR-10814,203422,38129
95,199,CR-10855,203422,38129
88,199,CR-10855,203422,38164
107,199,CR-10347,203422,38129
179,199,CR-10592,203422,38129
38,199,CR-10924,203422,38161
85,199,CR-10928,203422,38129
145,199,CR-10241,203422,38129
15,199,CR-10599,203422,38129
8,199,CR-10543,203422,38143
100,199,CR-10066,203422,38129
35,199,CR-10613,203422,38129
25,199,CR-10919,203422,38129
30,199,CR-10856,203422,38129
167,199,CR-10981,203422,38143
162,199,CR-10981,203422,38129
114,199,CR-10377,203422,38129
170,199,CR-10569,203422,38129
59,199,CR-10569,203422,38164
133,199,CR-10569,203422,38206
82,199,CR-10920,203422,38192
91,199,CR-10920,203422,38178
178,199,CR-10920,203422,38164
112,199,CR-10684,203422,38129
57,199,CR-10502,203422,38129
39,199,CR-10035,203422,38129
196,199,CR-10489,203422,38129
61,199,CR-10890,203422,38134
37,199,CR-10890,203422,38135
187,199,CR-10186,203422,38129
28,199,CR-10558,203422,38143
46,199,CR-10808,203422,38129
33,199,CR-10690,203422,38129
171,199,CR-10360,203422,38129
166,199,CR-10692,203422,38143
150,199,CR-10628,203422,38129
53,199,CR-10828,203422,38129
47,199,CR-10591,203422,38129
12,199,CR-10363,203422,38129
130,199,CR-10943,203422,38129
132,199,CR-10068,203422,38129
96,199,CR-10847,203422,38129
104,199,CR-10946,203422,38143
64,199,CR-10731,203422,38143
154,199,CR-10731,203422,38134
90,199,CR-11000,203422,38164
142,199,CR-10004,203422,38129
106,199,CR-10644,203422,38129
123,199,CR-10413,203422,38129
18,199,CR-10495,203422,38129
134,199,CR-10972,203422,38129
23,199,CR-10583,203422,38161
157,199,CR-10584,203422,38129
80,199,CR-10618,203422,38129
183,199,CR-10654,203422,38129
122,199,CR-10925,203422,38129
149,199,CR-10933,203422,38199
153,199,CR-10949,203422,38129
159,199,CR-10975,203422,38129
78,199,CR-10872,203422,38136
110,199,CR-10252,203422,38129
67,199,CR-10680,203422,38136
31,199,CR-10092,203422,38129
129,199,CR-10002,203422,38129
161,199,CR-10649,203422,38129
119,199,CR-10194,203422,38129
118,199,CR-10832,203422,38164
68,199,CR-10642,203422,38129
168,199,CR-10642,203422,38129
197,199,CR-10823,203422,38157
147,199,CR-10630,203422,38185
163,199,CR-10630,203422,38129
16,199,CR-10660,203422,38157
65,199,CR-10911,203422,38129
21,199,CR-10911,203422,38164
136,199,CR-10953,203422,38129
125,199,CR-10383,203422,38129
181,199,CR-10383,203422,38129
117,199,CR-10945,203422,38143
156,199,CR-10639,203422,38199
158,199,CR-10639,203422,38129
198,199,CR-10198,203422,38129
55,199,CR-10699,203422,38129
120,199,CR-10190,203422,38129
4,199,CR-10633,203422,38178
62,199,CR-10633,203422,38161
151,199,CR-10206,203422,38129
137,199,CR-10100,203422,38143
40,199,CR-10110,203422,38129
5,199,CR-10869,203422,38164
17,199,CR-10102,203422,38185
99,199,CR-10665,203422,38129
2,199,CR-10357,203422,38129
56,199,CR-10526,203422,38192
103,199,CR-10531,203422,38149
186,199,CR-10538,203422,38129
102,199,CR-10860,203422,38136
182,199,CR-10376,203422,38255
126,199,CR-10376,203422,38129
184,199,CR-10952,203422,38129
44,199,CR-10636,203422,38129
32,199,CR-10638,203422,38135
41,199,CR-10967,203422,38161
48,199,CR-10927,203422,38129
113,199,CR-10645,203422,38129
29,199,CR-10835,203422,38129
111,199,CR-10016,203422,38161
63,199,CR-10976,203422,38213
13,199,CR-10681,203422,38157
94,199,CR-10191,203422,38143
72,199,CR-10796,203422,38129
180,199,CR-10501,203422,38157
79,199,CR-10501,203422,38149
69,199,CR-10529,203422,38143
51,199,CR-10918,203422,38129
52,199,CR-10607,203422,38129
77,199,CR-10818,203422,38164
7,199,CR-10250,203422,38129
199,199,CR-10921,203422,38143
101,199,CR-10986,203422,38178
192,199,CR-10244,203422,38161
165,199,CR-10388,203422,38129
42,199,CR-10207,203422,38129
174,199,CR-10349,203422,38161
148,199,CR-10637,203422,38255
143,199,CR-10637,203422,38129
86,199,CR-10830,203422,38164
36,199,CR-10797,203422,38129
89,199,CR-10871,203422,38161
83,199,CR-10412,203422,38129
138,199,CR-10873,203422,38129
190,199,CR-10873,203422,38129
144,199,CR-10386,203422,38143
73,199,CR-10386,203422,38164
169,199,CR-10389,203422,38143
131,199,CR-10880,203422,38129
124,199,CR-10563,203422,38143
173,199,CR-10570,203422,38129
81,199,CR-10689,203422,38129
70,199,CR-10901,203422,38129
66,199,CR-10024,203422,38161
195,199,CR-10291,203422,38129
164,199,CR-10414,203422,38129
45,199,CR-10833,203422,38164
3,199,CR-10325,203422,38129
152,199,CR-10530,203422,38129
193,199,CR-10701,203422,38129
11,199,CR-10295,203422,38164
155,199,CR-10283,203422,38129
6,199,CR-10516,203422,38161
172,199,CR-10722,203422,38143
115,199,CR-10590,203422,38129
43,199,CR-10561,203422,38129
93,199,CR-10553,203422,38178
9,199,CR-10551,203422,38129
128,199,CR-10575,203422,38129
141,199,CR-10308,203422,38161
97,199,CR-10868,203422,38129
22,199,CR-10184,203422,38129
160,199,CR-10359,203422,38129
1,199,CR-10899,203422,38164
191,199,CR-10312,203422,38129
98,199,CR-10309,203422,38129
175,199,CR-10313,203422,38129
49,199,CR-10267,203422,38129
1,2,CR-10035,210413,38239
2,2,CR-10804,210413,38239
6,12,CR-10415,211931,38274
8,12,CR-10615,211931,38274
12,12,CR-10238,211931,38267
3,12,CR-10620,211931,38267
5,12,CR-10605,211931,38267
9,12,CR-10957,211931,38267
1,12,CR-11021,211931,38267
2,12,CR-10643,211931,38267
4,12,CR-10900,211931,38274
10,12,CR-10688,211931,38267
11,12,CR-10994,211931,38267
7,12,CR-10707,211931,38267
1,3,CR-10507,201002,38128
3,3,CR-10720,201002,38128
2,3,CR-10266,201002,38114
2,5,CR-10511,202053,38136
1,5,CR-10511,202053,38134
4,5,CR-10511,202053,38113
3,5,CR-10212,202053,38134
5,5,CR-10606,202053,38136
19,63,CR-10799,203435,38134
35,63,CR-10197,203435,38134
13,63,CR-10385,203435,38134
16,63,CR-10683,203435,38162
20,63,CR-10067,203435,38134
12,63,CR-10097,203435,38154
17,63,CR-10554,203435,38134
63,63,CR-10898,203435,38134
1,63,CR-10968,203435,38134
51,63,CR-10973,203435,38134
6,63,CR-10065,203435,38134
50,63,CR-10094,203435,38134
52,63,CR-10009,203435,38168
59,63,CR-10093,203435,38134
45,63,CR-10347,203435,38134
14,63,CR-10592,203435,38134
56,63,CR-10930,203435,38134
60,63,CR-10928,203435,38154
44,63,CR-10922,203435,38134
53,63,CR-10929,203435,38148
9,63,CR-10613,203435,38134
7,63,CR-10377,203435,38134
23,63,CR-10672,203435,38134
36,63,CR-10684,203435,38134
57,63,CR-10203,203435,38134
33,63,CR-10068,203435,38134
4,63,CR-10847,203435,38134
39,63,CR-10731,203435,38134
29,63,CR-10413,203435,38141
5,63,CR-10276,203435,38148
15,63,CR-10252,203435,38134
55,63,CR-10680,203435,38154
46,63,CR-10642,203435,38134
28,63,CR-10937,203435,38141
37,63,CR-10010,203435,38162
32,63,CR-10869,203435,38162
58,63,CR-10938,203435,38134
30,63,CR-10987,203435,38141
49,63,CR-10841,203435,38134
8,63,CR-10976,203435,38218
3,63,CR-10681,203435,38134
47,63,CR-10214,203435,38197
25,63,CR-10986,203435,38168
24,63,CR-10207,203435,38134
48,63,CR-10290,203435,38134
38,63,CR-10291,203435,38134
40,63,CR-10414,203435,38134
54,63,CR-10833,203435,38134
22,63,CR-10325,203435,38134
2,63,CR-10548,203435,38197
26,63,CR-10701,203435,38148
11,63,CR-10225,203435,38134
41,63,CR-10303,203435,38141
21,63,CR-10171,203435,38134
31,63,CR-10087,203435,38134
61,63,CR-11793,203435,38162
18,63,CR-10883,203435,38134
34,63,CR-10844,203435,38134
42,63,CR-10734,203435,38134
27,63,CR-10617,203435,38218
10,63,CR-10343,203435,38183
43,63,CR-10312,203435,38134
62,63,CR-10267,203435,38134
2,2,CR-10928,211932,38261
1,2,CR-10644,211932,38261
1,2,CR-10793,214144,38291
2,2,CR-10386,214144,38291
37,45,CR-10038,200388,38224
7,45,CR-10268,200388,38224
9,45,CR-10097,200388,38224
11,45,CR-10409,200388,38224
40,45,CR-10094,200388,38224
28,45,CR-10347,200388,38224
39,45,CR-10059,200388,38224
43,45,CR-10066,200388,38224
26,45,CR-10981,200388,38224
14,45,CR-10258,200388,38224
3,45,CR-10813,200388,38224
41,45,CR-10714,200388,38224
22,45,CR-10946,200388,38224
38,45,CR-10618,200388,38224
1,45,CR-10836,200388,38224
35,45,CR-10949,200388,38224
17,45,CR-10823,200388,38224
24,45,CR-10101,200388,38224
5,45,CR-10206,200388,38224
8,45,CR-10206,200388,38224
32,45,CR-10102,200388,38224
30,45,CR-10253,200388,38224
42,45,CR-10090,200388,38224
23,45,CR-10952,200388,38224
21,45,CR-10843,200388,38224
15,45,CR-10927,200388,38224
4,45,CR-10204,200388,38224
44,45,CR-10874,200388,38224
20,45,CR-10877,200388,38224
13,45,CR-10921,200388,38224
18,45,CR-10214,200388,38224
19,45,CR-10214,200388,38224
45,45,CR-10214,200388,38224
29,45,CR-10378,200388,38224
34,45,CR-10637,200388,38224
12,45,CR-10386,200388,38224
2,45,CR-10685,200388,38224
16,45,CR-10561,200388,38224
25,45,CR-10573,200388,38224
10,45,CR-10868,200388,38224
33,45,CR-10184,200388,38224
36,45,CR-10632,200388,38224
6,45,CR-10961,200388,38224
31,45,CR-10536,200388,38224
27,45,CR-10223,200388,38224
4,9,CR-10505,201006,38123
8,9,CR-10697,201006,38116
1,9,CR-10506,201006,38123
2,9,CR-10671,201006,38127
7,9,CR-10671,201006,38130
3,9,CR-10670,201006,38130
9,9,CR-10504,201006,38123
6,9,CR-10591,201006,38123
5,9,CR-10088,201006,38130
21,31,CR-10554,202061,38114
31,31,CR-10898,202061,38114
25,31,CR-10973,202061,38114
29,31,CR-10853,202061,38137
16,31,CR-10347,202061,38114
15,31,CR-10208,202061,38137
19,31,CR-10066,202061,38114
4,31,CR-10510,202061,38114
10,31,CR-10890,202061,38114
8,31,CR-10068,202061,38114
20,31,CR-10731,202061,38114
14,31,CR-10964,202061,38114
3,31,CR-10618,202061,38128
26,31,CR-10187,202061,38114
7,31,CR-10634,202061,38114
2,31,CR-10642,202061,38114
27,31,CR-10642,202061,38128
9,31,CR-10190,202061,38114
30,31,CR-10498,202061,38114
23,31,CR-10796,202061,38114
18,31,CR-10250,202061,38114
24,31,CR-10214,202061,38121
17,31,CR-10301,202061,38114
12,31,CR-10830,202061,38114
1,31,CR-10412,202061,38114
11,31,CR-10873,202061,38114
28,31,CR-10484,202061,38114
13,31,CR-10325,202061,38114
5,31,CR-10082,202061,38121
22,31,CR-10394,202061,38114
6,31,CR-10303,202061,38114
2,2,CR-10623,203436,38129
1,2,CR-10070,203436,38129
11,17,CR-10505,204597,38168
10,17,CR-10038,204597,38203
3,17,CR-10065,204597,38168
5,17,CR-10307,204597,38197
2,17,CR-10890,204597,38168
7,17,CR-10692,204597,38203
16,17,CR-10964,204597,38168
9,17,CR-10276,204597,38168
8,17,CR-10089,204597,38168
15,17,CR-10106,204597,38168
6,17,CR-10212,204597,38197
12,17,CR-10950,204597,38168
17,17,CR-10102,204597,38168
14,17,CR-10256,204597,38168
1,17,CR-10491,204597,38168
13,17,CR-10491,204597,38168
4,17,CR-10707,204597,38168
1,2,CR-10528,205894,38255
2,2,CR-10913,205894,38255
1,6,CR-11112,207076,38204
2,6,CR-10009,207076,38204
5,6,CR-10889,207076,38204
4,6,CR-10106,207076,38204
6,6,CR-10006,207076,38204
3,6,CR-10008,207076,38204
4,7,CR-10363,214964,38309
3,7,CR-10964,214964,38309
7,7,CR-10625,214964,38309
2,7,CR-10281,214964,38309
1,7,CR-10391,214964,38309
5,7,CR-10529,214964,38309
6,7,CR-10668,214964,38309
1,2,CR-10053,200390,38214
2,2,CR-10053,200390,38214
10,33,CR-10799,200398,38217
11,33,CR-10505,200398,38217
16,33,CR-10067,200398,38217
12,33,CR-10403,200398,38217
5,33,CR-10593,200398,38217
9,33,CR-10898,200398,38217
19,33,CR-10405,200398,38217
29,33,CR-10065,200398,38217
17,33,CR-10965,200398,38217
13,33,CR-10009,200398,38217
27,33,CR-10007,200398,38217
28,33,CR-10347,200398,38217
14,33,CR-10592,200398,38217
1,33,CR-10924,200398,38217
18,33,CR-10066,200398,38217
24,33,CR-10672,200398,38217
32,33,CR-10052,200398,38217
2,33,CR-10594,200398,38217
23,33,CR-10690,200398,38217
31,33,CR-10628,200398,38217
30,33,CR-10068,200398,38217
20,33,CR-10847,200398,38217
25,33,CR-10731,200398,38217
21,33,CR-10642,200398,38217
8,33,CR-10010,200398,38217
15,33,CR-10408,200398,38217
3,33,CR-10986,200398,38217
4,33,CR-10797,200398,38217
33,33,CR-10412,200398,38217
6,33,CR-10824,200398,38217
26,33,CR-10880,200398,38217
22,33,CR-10291,200398,38217
7,33,CR-10053,200398,38217
36,47,CR-10799,204612,38151
46,47,CR-10505,204612,38151
8,47,CR-10197,204612,38151
20,47,CR-10683,204612,38151
27,47,CR-10067,204612,38151
11,47,CR-10565,204612,38151
12,47,CR-10898,204612,38151
4,47,CR-10409,204612,38151
31,47,CR-10065,204612,38151
15,47,CR-10099,204612,38151
6,47,CR-10855,204612,38161
43,47,CR-10347,204612,38151
3,47,CR-10592,204612,38161
21,47,CR-10066,204612,38189
23,47,CR-10066,204612,38161
22,47,CR-10066,204612,38169
19,47,CR-10069,204612,38151
9,47,CR-10856,204612,38151
29,47,CR-10920,204612,38151
32,47,CR-10672,204612,38151
39,47,CR-10684,204612,38151
40,47,CR-10489,204612,38151
28,47,CR-10404,204612,38169
47,47,CR-10186,204612,38151
34,47,CR-10611,204612,38252
16,47,CR-10588,204612,38151
30,47,CR-10068,204612,38151
33,47,CR-10731,204612,38151
2,47,CR-10654,204612,38151
45,47,CR-10602,204612,38151
17,47,CR-10872,204612,38151
10,47,CR-10680,204612,38151
1,47,CR-10642,204612,38151
14,47,CR-10315,204612,38151
25,47,CR-10190,204612,38151
37,47,CR-10206,204612,38151
38,47,CR-10589,204612,38252
13,47,CR-10681,204612,38151
24,47,CR-10607,204612,38151
7,47,CR-10265,204612,38151
44,47,CR-10797,204612,38151
35,47,CR-10412,204612,38151
26,47,CR-10880,204612,38161
18,47,CR-10291,204612,38151
42,47,CR-10303,204612,38151
5,47,CR-10330,204612,38161
41,47,CR-10178,204612,38151
8,9,CR-10415,211948,38275
1,9,CR-10708,211948,38275
9,9,CR-10708,211948,38275
5,9,CR-10620,211948,38268
6,9,CR-10605,211948,38268
2,9,CR-10957,211948,38268
4,9,CR-10475,211948,38268
7,9,CR-10707,211948,38268
3,9,CR-10487,211948,38268
1,1,CR-10009,213196,38287
27,28,CR-10623,200402,38249
14,28,CR-10043,200402,38249
16,28,CR-10241,200402,38249
18,28,CR-10919,200402,38249
26,28,CR-10878,200402,38249
6,28,CR-10974,200402,38249
24,28,CR-10495,200402,38249
17,28,CR-10546,200402,38249
25,28,CR-10232,200402,38249
8,28,CR-10281,200402,38249
23,28,CR-10286,200402,38249
10,28,CR-10634,200402,38249
20,28,CR-10104,200402,38249
21,28,CR-10602,200402,38249
7,28,CR-10942,200402,38249
12,28,CR-10212,200402,38249
19,28,CR-10639,200402,38249
9,28,CR-10636,200402,38249
5,28,CR-10244,200402,38249
1,28,CR-10388,200402,38249
13,28,CR-10637,200402,38249
4,28,CR-10541,200402,38249
3,28,CR-10243,200402,38249
11,28,CR-10304,200402,38249
28,28,CR-10840,200402,38249
22,28,CR-10339,200402,38249
2,28,CR-10844,200402,38249
15,28,CR-10811,200402,38249
38,57,CR-10799,202078,38113
44,57,CR-10671,202078,38162
25,57,CR-10670,202078,38113
51,57,CR-10504,202078,38134
26,57,CR-10038,202078,38113
12,57,CR-10499,202078,38154
16,57,CR-10554,202078,38113
48,57,CR-10968,202078,38113
17,57,CR-10405,202078,38113
53,57,CR-10065,202078,38113
32,57,CR-10037,202078,38113
31,57,CR-10009,202078,38168
28,57,CR-10384,202078,38113
30,57,CR-10347,202078,38113
7,57,CR-10592,202078,38113
54,57,CR-10074,202078,38113
10,57,CR-10609,202078,38127
57,57,CR-10672,202078,38113
37,57,CR-10035,202078,38113
52,57,CR-10404,202078,38113
56,57,CR-10400,202078,38113
33,57,CR-10076,202078,38113
39,57,CR-10213,202078,38113
35,57,CR-10213,202078,38168
40,57,CR-10943,202078,38162
29,57,CR-10068,202078,38113
2,57,CR-10847,202078,38113
50,57,CR-10972,202078,38113
9,57,CR-10254,202078,38113
13,57,CR-10832,202078,38154
49,57,CR-10823,202078,38127
47,57,CR-10072,202078,38113
1,57,CR-10942,202078,38147
8,57,CR-10315,202078,38113
11,57,CR-10408,202078,38113
19,57,CR-10869,202078,38162
41,57,CR-10531,202078,38120
55,57,CR-10329,202078,38154
20,57,CR-10329,202078,38147
36,57,CR-10967,202078,38127
43,57,CR-10529,202078,38113
34,57,CR-10401,202078,38113
18,57,CR-10986,202078,38127
22,57,CR-10244,202078,38113
21,57,CR-10797,202078,38113
14,57,CR-10412,202078,38113
4,57,CR-10179,202078,38168
23,57,CR-10053,202078,38134
27,57,CR-10530,202078,38147
46,57,CR-10842,202078,38113
45,57,CR-10339,202078,38113
15,57,CR-10200,202078,38142
42,57,CR-10844,202078,38127
24,57,CR-10178,202078,38120
5,57,CR-10199,202078,38120
6,57,CR-10199,202078,38113
3,57,CR-10733,202078,38134
4,10,CR-10504,204615,38150
5,10,CR-10504,204615,38150
1,10,CR-10499,204615,38150
8,10,CR-10543,204615,38177
7,10,CR-10543,204615,38178
6,10,CR-10543,204615,38150
2,10,CR-10258,204615,38150
3,10,CR-10501,204615,38150
10,10,CR-10255,204615,38150
9,10,CR-10844,204615,38150
7,24,CR-10805,213200,38302
20,24,CR-10836,213200,38302
23,24,CR-10829,213200,38302
2,24,CR-10843,213200,38302
9,24,CR-10858,213200,38302
10,24,CR-10835,213200,38302
15,24,CR-10874,213200,38302
14,24,CR-10876,213200,38302
19,24,CR-10859,213200,38302
5,24,CR-10818,213200,38302
6,24,CR-10720,213200,38302
1,24,CR-10830,213200,38302
3,24,CR-10861,213200,38302
24,24,CR-10824,213200,38302
12,24,CR-10857,213200,38302
13,24,CR-10810,213200,38302
17,24,CR-10845,213200,38302
4,24,CR-10851,213200,38302
11,24,CR-10839,213200,38302
16,24,CR-10815,213200,38302
18,24,CR-10811,213200,38302
22,24,CR-10816,213200,38302
21,24,CR-10852,213200,38302
8,24,CR-10837,213200,38302
2,2,CR-10254,214971,38303
1,2,CR-10712,214971,38303
3,4,CR-10973,202083,38164
4,4,CR-10974,202083,38199
1,4,CR-10512,202083,38164
2,4,CR-10373,202083,38199
6,36,CR-10799,204622,38148
17,36,CR-10067,204622,38148
12,36,CR-10403,204622,38148
32,36,CR-10403,204622,38148
16,36,CR-10898,204622,38148
1,36,CR-10065,204622,38148
30,36,CR-10093,204622,38148
29,36,CR-10078,204622,38148
19,36,CR-10347,204622,38148
36,36,CR-10091,204622,38148
31,36,CR-10081,204622,38256
9,36,CR-10077,204622,38148
14,36,CR-10692,204622,38256
15,36,CR-10071,204622,38148
4,36,CR-10731,204622,38148
34,36,CR-10964,204622,38148
24,36,CR-10680,204622,38154
18,36,CR-10823,204622,38204
35,36,CR-10100,204622,38148
5,36,CR-10869,204622,38183
13,36,CR-10938,204622,38148
7,36,CR-10329,204622,38225
11,36,CR-10083,204622,38148
25,36,CR-10264,204622,38204
20,36,CR-10986,204622,38169
33,36,CR-10610,204622,38225
26,36,CR-10073,204622,38148
3,36,CR-10700,204622,38169
8,36,CR-10082,204622,38148
10,36,CR-10572,204622,38154
28,36,CR-10070,204622,38148
27,36,CR-10064,204622,38148
2,36,CR-10806,204622,38183
22,36,CR-10079,204622,38148
23,36,CR-10085,204622,38148
21,36,CR-10870,204622,38148
1,2,CR-10592,210440,38241
2,2,CR-10592,210440,38241
13,15,CR-10799,213201,38282
1,15,CR-10898,213201,38282
14,15,CR-10384,213201,38282
12,15,CR-10347,213201,38282
4,15,CR-10066,213201,38282
9,15,CR-10813,213201,38282
3,15,CR-10890,213201,38282
15,15,CR-10808,213201,38282
11,15,CR-10068,213201,38282
10,15,CR-10731,213201,38282
5,15,CR-10654,213201,38282
8,15,CR-10886,213201,38288
2,15,CR-10529,213201,38282
7,15,CR-10219,213201,38282
6,15,CR-10838,213201,38288
1,2,CR-10294,214977,38302
2,2,CR-10419,214977,38302
6,6,CR-10067,202096,38116
2,6,CR-11112,202096,38126
5,6,CR-10841,202096,38126
3,6,CR-10014,202096,38116
1,6,CR-10301,202096,38116
