Sales by Customer by YearQuarter,Low,High
65811.1,"$25,000","$100,000"
514785,"$500,000","$1,000,000"
11658.91,"$5,000","$25,000"
11891.05,"$5,000","$25,000"
1247.72,"$1,000","$2,000"
154500,"$100,000","$250,000"
13694.36,"$5,000","$25,000"
30388.78,"$25,000","$100,000"
57971.7,"$25,000","$100,000"
491606.91,"$250,000","$500,000"
21015.3,"$5,000","$25,000"
846.03,$1,"$1,000"
8983.12,"$5,000","$25,000"
2142446.69,"$1,000,000","$9,999,999"
6818.62,"$5,000","$25,000"
51684.32,"$25,000","$100,000"
759.85,$1,"$1,000"
7772.84,"$5,000","$25,000"
8090.08,"$5,000","$25,000"
1185.57,"$1,000","$2,000"
21546.03,"$5,000","$25,000"
1175.2,"$1,000","$2,000"
4460.87,"$2,000","$5,000"
918.6,$1,"$1,000"
4623.04,"$2,000","$5,000"
9399.63,"$5,000","$25,000"
17655.94,"$5,000","$25,000"
36206.21,"$25,000","$100,000"
13193.55,"$5,000","$25,000"
2830.16,"$2,000","$5,000"
3729.4,"$2,000","$5,000"
17965.68,"$5,000","$25,000"
1580.87,"$1,000","$2,000"
5173.31,"$5,000","$25,000"
903608.51,"$500,000","$1,000,000"
5853.21,"$5,000","$25,000"
844.46,$1,"$1,000"
1160.81,"$1,000","$2,000"
619.47,$1,"$1,000"
8622.79,"$5,000","$25,000"
306.51,$1,"$1,000"
7367.9,"$5,000","$25,000"
6581.48,"$5,000","$25,000"
10609.18,"$5,000","$25,000"
15028.71,"$5,000","$25,000"
368.93,$1,"$1,000"
23744.93,"$5,000","$25,000"
45092.37,"$25,000","$100,000"
657.69,$1,"$1,000"
5802.98,"$5,000","$25,000"
8486.16,"$5,000","$25,000"
123476.4,"$100,000","$250,000"
1666128,"$1,000,000","$9,999,999"
1574.52,"$1,000","$2,000"
15163.91,"$5,000","$25,000"
1164.57,"$1,000","$2,000"
1039.47,"$1,000","$2,000"
6412.97,"$5,000","$25,000"
2548,"$2,000","$5,000"
2475.2,"$2,000","$5,000"
5429.95,"$5,000","$25,000"
966.6,$1,"$1,000"
3197.23,"$2,000","$5,000"
4296.08,"$2,000","$5,000"
85253.16,"$25,000","$100,000"
21656.76,"$5,000","$25,000"
3370.1,"$2,000","$5,000"
10300.65,"$5,000","$25,000"
6026.85,"$5,000","$25,000"
13674.89,"$5,000","$25,000"
7844.79,"$5,000","$25,000"
397.23,$1,"$1,000"
6672.65,"$5,000","$25,000"
8136.11,"$5,000","$25,000"
1105.17,"$1,000","$2,000"
17431.19,"$5,000","$25,000"
5364.51,"$5,000","$25,000"
14.5,$1,"$1,000"
370.91,$1,"$1,000"
1939.46,"$1,000","$2,000"
5169.6,"$5,000","$25,000"
3686.21,"$2,000","$5,000"
5268.78,"$5,000","$25,000"
1538.45,"$1,000","$2,000"
11905.28,"$5,000","$25,000"
499.2,$1,"$1,000"
405.76,$1,"$1,000"
2781.89,"$2,000","$5,000"
10405.37,"$5,000","$25,000"
6992.2,"$5,000","$25,000"
44467.85,"$25,000","$100,000"
112634.39,"$100,000","$250,000"
32.47,$1,"$1,000"
2865.6,"$2,000","$5,000"
698.82,$1,"$1,000"
285.91,$1,"$1,000"
247.15,$1,"$1,000"
9393.6,"$5,000","$25,000"
2866.79,"$2,000","$5,000"
563.08,$1,"$1,000"
136.15,$1,"$1,000"
1147.66,"$1,000","$2,000"
5481.06,"$5,000","$25,000"
55929.21,"$25,000","$100,000"
440.57,$1,"$1,000"
6622.86,"$5,000","$25,000"
4524.69,"$2,000","$5,000"
312.37,$1,"$1,000"
1205.99,"$1,000","$2,000"
257.5,$1,"$1,000"
116.05,$1,"$1,000"
94.46,$1,"$1,000"
73.06,$1,"$1,000"
9973.04,"$5,000","$25,000"
1469.37,"$1,000","$2,000"
7803.31,"$5,000","$25,000"
2044.96,"$2,000","$5,000"
6173.67,"$5,000","$25,000"
1839.09,"$1,000","$2,000"
2504.32,"$2,000","$5,000"
15850.15,"$5,000","$25,000"
10193.55,"$5,000","$25,000"
66.34,$1,"$1,000"
2757.42,"$2,000","$5,000"
606.37,$1,"$1,000"
63433.02,"$25,000","$100,000"
-849.12,"($99,000)",$1
39.03,$1,"$1,000"
70.91,$1,"$1,000"
33630.66,"$25,000","$100,000"
292.2,$1,"$1,000"
918.35,$1,"$1,000"
137.92,$1,"$1,000"
30.25,$1,"$1,000"
140.99,$1,"$1,000"
349.11,$1,"$1,000"
4004.89,"$2,000","$5,000"
245.98,$1,"$1,000"
4085.31,"$2,000","$5,000"
9129.25,"$5,000","$25,000"
8760.69,"$5,000","$25,000"
5299.38,"$5,000","$25,000"
7.28,$1,"$1,000"
15.02,$1,"$1,000"
2600.11,"$2,000","$5,000"
19736.73,"$5,000","$25,000"
66.5,$1,"$1,000"
722.02,$1,"$1,000"
163.01,$1,"$1,000"
247312.78,"$100,000","$250,000"
8139.87,"$5,000","$25,000"
568407.05,"$500,000","$1,000,000"
2125.89,"$2,000","$5,000"
194013.48,"$100,000","$250,000"
82627.45,"$25,000","$100,000"
49600.3,"$25,000","$100,000"
60089.65,"$25,000","$100,000"
200926.4,"$100,000","$250,000"
90327.19,"$25,000","$100,000"
67680.01,"$25,000","$100,000"
13403.93,"$5,000","$25,000"
14086.69,"$5,000","$25,000"
6402.24,"$5,000","$25,000"
104768.71,"$100,000","$250,000"
46821.34,"$25,000","$100,000"
2494.89,"$2,000","$5,000"
236288.46,"$100,000","$250,000"
251171.85,"$250,000","$500,000"
28776.36,"$25,000","$100,000"
109061.57,"$100,000","$250,000"
105352.01,"$100,000","$250,000"
210017.73,"$100,000","$250,000"
16755.98,"$5,000","$25,000"
37775.04,"$25,000","$100,000"
5850.82,"$5,000","$25,000"
169734.21,"$100,000","$250,000"
45229.59,"$25,000","$100,000"
29619.51,"$25,000","$100,000"
3210.75,"$2,000","$5,000"
14987.93,"$5,000","$25,000"
11840.11,"$5,000","$25,000"
14003.73,"$5,000","$25,000"
5272.27,"$5,000","$25,000"
67106.67,"$25,000","$100,000"
306164.34,"$250,000","$500,000"
56743.02,"$25,000","$100,000"
17338.44,"$5,000","$25,000"
4100.54,"$2,000","$5,000"
347313.2,"$250,000","$500,000"
4610.08,"$2,000","$5,000"
129638.5,"$100,000","$250,000"
9673.2,"$5,000","$25,000"
4368.09,"$2,000","$5,000"
86116.45,"$25,000","$100,000"
47852.56,"$25,000","$100,000"
21279.65,"$5,000","$25,000"
21523.24,"$5,000","$25,000"
436.77,$1,"$1,000"
2353.09,"$2,000","$5,000"
7753.04,"$5,000","$25,000"
5233.85,"$5,000","$25,000"
36750.64,"$25,000","$100,000"
639614.9,"$500,000","$1,000,000"
9346.66,"$5,000","$25,000"
67383.95,"$25,000","$100,000"
16350.12,"$5,000","$25,000"
67054.64,"$25,000","$100,000"
29487.13,"$25,000","$100,000"
1671.48,"$1,000","$2,000"
49932.47,"$25,000","$100,000"
64569.63,"$25,000","$100,000"
746.99,$1,"$1,000"
12023.31,"$5,000","$25,000"
188917.78,"$100,000","$250,000"
29614.51,"$25,000","$100,000"
38410.63,"$25,000","$100,000"
77280.3,"$25,000","$100,000"
120588.67,"$100,000","$250,000"
18627.69,"$5,000","$25,000"
3022757.41,"$1,000,000","$9,999,999"
53095.91,"$25,000","$100,000"
19814.63,"$5,000","$25,000"
50341.75,"$25,000","$100,000"
375126.18,"$250,000","$500,000"
1677.72,"$1,000","$2,000"
11670.35,"$5,000","$25,000"
81766.07,"$25,000","$100,000"
149651.55,"$100,000","$250,000"
24953.45,"$5,000","$25,000"
1124.82,"$1,000","$2,000"
369344.07,"$250,000","$500,000"
662607.35,"$500,000","$1,000,000"
103834.75,"$100,000","$250,000"
7796.05,"$5,000","$25,000"
268730.76,"$250,000","$500,000"
742.46,$1,"$1,000"
14459.69,"$5,000","$25,000"
21935.48,"$5,000","$25,000"
8384.04,"$5,000","$25,000"
49945.21,"$25,000","$100,000"
9174.07,"$5,000","$25,000"
29276.71,"$25,000","$100,000"
1297.55,"$1,000","$2,000"
10544.32,"$5,000","$25,000"
14426.69,"$5,000","$25,000"
46058.48,"$25,000","$100,000"
39730.29,"$25,000","$100,000"
15901.4,"$5,000","$25,000"
37177.12,"$25,000","$100,000"
1908.91,"$1,000","$2,000"
124425.76,"$100,000","$250,000"
41040.75,"$25,000","$100,000"
1608.02,"$1,000","$2,000"
29845.92,"$25,000","$100,000"
45514.58,"$25,000","$100,000"
169923.53,"$100,000","$250,000"
44360.7,"$25,000","$100,000"
112444.58,"$100,000","$250,000"
134037.55,"$100,000","$250,000"
718359.6,"$500,000","$1,000,000"
149075.55,"$100,000","$250,000"
22230.89,"$5,000","$25,000"
36971.16,"$25,000","$100,000"
15354.92,"$5,000","$25,000"
41443.63,"$25,000","$100,000"
10506.7,"$5,000","$25,000"
9098.81,"$5,000","$25,000"
6722.3,"$5,000","$25,000"
21165.62,"$5,000","$25,000"
17755.2,"$5,000","$25,000"
3260.34,"$2,000","$5,000"
14453.18,"$5,000","$25,000"
4550.32,"$2,000","$5,000"
1628.48,"$1,000","$2,000"
30517.82,"$25,000","$100,000"
13950.86,"$5,000","$25,000"
51112.21,"$25,000","$100,000"
519.98,$1,"$1,000"
15120.92,"$5,000","$25,000"
10905.64,"$5,000","$25,000"
45447.51,"$25,000","$100,000"
23406.65,"$5,000","$25,000"
-1161.48,"($99,000)",$1
2900.69,"$2,000","$5,000"
58625.89,"$25,000","$100,000"
2958.34,"$2,000","$5,000"
49537.54,"$25,000","$100,000"
4412.38,"$2,000","$5,000"
15789.42,"$5,000","$25,000"
140.27,$1,"$1,000"
8424.34,"$5,000","$25,000"
193875.84,"$100,000","$250,000"
737.58,$1,"$1,000"
8186.2,"$5,000","$25,000"
122870.48,"$100,000","$250,000"
281062.66,"$250,000","$500,000"
703.12,$1,"$1,000"
16914.85,"$5,000","$25,000"
10321.93,"$5,000","$25,000"
2577.46,"$2,000","$5,000"
7592.17,"$5,000","$25,000"
3167.55,"$2,000","$5,000"
1026.93,"$1,000","$2,000"
59686.88,"$25,000","$100,000"
3564.56,"$2,000","$5,000"
21375.18,"$5,000","$25,000"
1499515.2,"$1,000,000","$9,999,999"
97739.64,"$25,000","$100,000"
14601.04,"$5,000","$25,000"
311518.49,"$250,000","$500,000"
128.51,$1,"$1,000"
3965.9,"$2,000","$5,000"
28070.22,"$25,000","$100,000"
5832.67,"$5,000","$25,000"
60851.1,"$25,000","$100,000"
1250.35,"$1,000","$2,000"
34021.44,"$25,000","$100,000"
802.81,$1,"$1,000"
6379.36,"$5,000","$25,000"
3104.41,"$2,000","$5,000"
662.56,$1,"$1,000"
19454.72,"$5,000","$25,000"
8327.44,"$5,000","$25,000"
7129.96,"$5,000","$25,000"
3663.07,"$2,000","$5,000"
269.06,$1,"$1,000"
348521.89,"$250,000","$500,000"
12907.19,"$5,000","$25,000"
12315.31,"$5,000","$25,000"
8781.99,"$5,000","$25,000"
206568.06,"$100,000","$250,000"
9737.4,"$5,000","$25,000"
6862.29,"$5,000","$25,000"
1504.83,"$1,000","$2,000"
348934.61,"$250,000","$500,000"
1556.02,"$1,000","$2,000"
688.11,$1,"$1,000"
1168.02,"$1,000","$2,000"
23583.82,"$5,000","$25,000"
9256.07,"$5,000","$25,000"
263.67,$1,"$1,000"
11064.93,"$5,000","$25,000"
453.69,$1,"$1,000"
3282007.59,"$1,000,000","$9,999,999"
63330.2,"$25,000","$100,000"
94489.2,"$25,000","$100,000"
573839.81,"$500,000","$1,000,000"
118430.25,"$100,000","$250,000"
581910.93,"$500,000","$1,000,000"
3377.78,"$2,000","$5,000"
73866.39,"$25,000","$100,000"
11784.94,"$5,000","$25,000"
13785.51,"$5,000","$25,000"
15014.72,"$5,000","$25,000"
723734.99,"$500,000","$1,000,000"
11274.94,"$5,000","$25,000"
37799.02,"$25,000","$100,000"
114400.01,"$100,000","$250,000"
84217.22,"$25,000","$100,000"
60296.23,"$25,000","$100,000"
40967.42,"$25,000","$100,000"
1661779.95,"$1,000,000","$9,999,999"
141588.72,"$100,000","$250,000"
93776.06,"$25,000","$100,000"
94479.34,"$25,000","$100,000"
21336.9,"$5,000","$25,000"
57657.51,"$25,000","$100,000"
6042.18,"$5,000","$25,000"
108.19,$1,"$1,000"
59540.09,"$25,000","$100,000"
110880.08,"$100,000","$250,000"
47663.23,"$25,000","$100,000"
283225.33,"$250,000","$500,000"
306681.72,"$250,000","$500,000"
31684.85,"$25,000","$100,000"
5767.07,"$5,000","$25,000"
4989.86,"$2,000","$5,000"
62676.26,"$25,000","$100,000"
153186.11,"$100,000","$250,000"
37318.83,"$25,000","$100,000"
47975.28,"$25,000","$100,000"
523285.48,"$500,000","$1,000,000"
23920.1,"$5,000","$25,000"
580653.29,"$500,000","$1,000,000"
119045.78,"$100,000","$250,000"
326975.25,"$250,000","$500,000"
5261.39,"$5,000","$25,000"
2213.96,"$2,000","$5,000"
406234.78,"$250,000","$500,000"
42180.01,"$25,000","$100,000"
37184.07,"$25,000","$100,000"
4851.79,"$2,000","$5,000"
39655.14,"$25,000","$100,000"
7815.11,"$5,000","$25,000"
225.24,$1,"$1,000"
64861.41,"$25,000","$100,000"
6615.07,"$5,000","$25,000"
16056.29,"$5,000","$25,000"
34869.61,"$25,000","$100,000"
1308.49,"$1,000","$2,000"
18428.46,"$5,000","$25,000"
16972.84,"$5,000","$25,000"
373.53,$1,"$1,000"
6965.96,"$5,000","$25,000"
80817.4,"$25,000","$100,000"
25766.03,"$25,000","$100,000"
227.33,$1,"$1,000"
113509.58,"$100,000","$250,000"
3383.22,"$2,000","$5,000"
23324.38,"$5,000","$25,000"
9180.47,"$5,000","$25,000"
7002.76,"$5,000","$25,000"
136372.89,"$100,000","$250,000"
89078.12,"$25,000","$100,000"
2168.63,"$2,000","$5,000"
42928.78,"$25,000","$100,000"
43032.84,"$25,000","$100,000"
625.81,$1,"$1,000"
132241.58,"$100,000","$250,000"
52326.6,"$25,000","$100,000"
4295.74,"$2,000","$5,000"
466668.15,"$250,000","$500,000"
45933.51,"$25,000","$100,000"
7419.17,"$5,000","$25,000"
26929.69,"$25,000","$100,000"
93851.41,"$25,000","$100,000"
15805.5,"$5,000","$25,000"
-10110.5,"($99,000)",$1
78644.22,"$25,000","$100,000"
2391.07,"$2,000","$5,000"
6880.22,"$5,000","$25,000"
428.68,$1,"$1,000"
15533.01,"$5,000","$25,000"
139.59,$1,"$1,000"
117522.16,"$100,000","$250,000"
1679.05,"$1,000","$2,000"
126168.25,"$100,000","$250,000"
2509.76,"$2,000","$5,000"
9037.38,"$5,000","$25,000"
14953.06,"$5,000","$25,000"
74440.38,"$25,000","$100,000"
9054.38,"$5,000","$25,000"
2407.28,"$2,000","$5,000"
10143.54,"$5,000","$25,000"
68929.31,"$25,000","$100,000"
56576.18,"$25,000","$100,000"
328.73,$1,"$1,000"
28744.59,"$25,000","$100,000"
673390.52,"$500,000","$1,000,000"
42991.68,"$25,000","$100,000"
2974.9,"$2,000","$5,000"
84048.76,"$25,000","$100,000"
28117.44,"$25,000","$100,000"
138.38,$1,"$1,000"
14451.99,"$5,000","$25,000"
1616.54,"$1,000","$2,000"
26675.21,"$25,000","$100,000"
219699.16,"$100,000","$250,000"
56067.01,"$25,000","$100,000"
17603.36,"$5,000","$25,000"
289.36,$1,"$1,000"
6411.63,"$5,000","$25,000"
479.97,$1,"$1,000"
57810.79,"$25,000","$100,000"
6161.94,"$5,000","$25,000"
142706.1,"$100,000","$250,000"
62176.31,"$25,000","$100,000"
58739.53,"$25,000","$100,000"
190157.65,"$100,000","$250,000"
10942.62,"$5,000","$25,000"
18502.56,"$5,000","$25,000"
4278.33,"$2,000","$5,000"
282.13,$1,"$1,000"
20642.24,"$5,000","$25,000"
137031.75,"$100,000","$250,000"
26919.83,"$25,000","$100,000"
30706.72,"$25,000","$100,000"
11932.65,"$5,000","$25,000"
18194.05,"$5,000","$25,000"
7414.72,"$5,000","$25,000"
47222.69,"$25,000","$100,000"
5927.2,"$5,000","$25,000"
2236.44,"$2,000","$5,000"
13144.01,"$5,000","$25,000"
12404.29,"$5,000","$25,000"
9346.04,"$5,000","$25,000"
44298.1,"$25,000","$100,000"
82292.17,"$25,000","$100,000"
7459.5,"$5,000","$25,000"
20972.76,"$5,000","$25,000"
6917.15,"$5,000","$25,000"
75717.13,"$25,000","$100,000"
4328.06,"$2,000","$5,000"
386.23,$1,"$1,000"
21204.31,"$5,000","$25,000"
22.16,$1,"$1,000"
1351.17,"$1,000","$2,000"
427.53,$1,"$1,000"
7801.05,"$5,000","$25,000"
62627.5,"$25,000","$100,000"
209.52,$1,"$1,000"
7192.32,"$5,000","$25,000"
2179.57,"$2,000","$5,000"
4706.74,"$2,000","$5,000"
23.27,$1,"$1,000"
19597.31,"$5,000","$25,000"
3211.83,"$2,000","$5,000"
10754.17,"$5,000","$25,000"
5.1,$1,"$1,000"
688.25,$1,"$1,000"
1100.37,"$1,000","$2,000"
154.27,$1,"$1,000"
886.7,$1,"$1,000"
3013.96,"$2,000","$5,000"
133.13,$1,"$1,000"
8980.38,"$5,000","$25,000"
23.1,$1,"$1,000"
1264.85,"$1,000","$2,000"
1054.58,"$1,000","$2,000"
23.64,$1,"$1,000"
4772.92,"$2,000","$5,000"
739.55,$1,"$1,000"
37962,"$25,000","$100,000"
17469.41,"$5,000","$25,000"
1580.2,"$1,000","$2,000"
141.59,$1,"$1,000"
393.13,$1,"$1,000"
867.37,$1,"$1,000"
5869.53,"$5,000","$25,000"
285.16,$1,"$1,000"
949339.49,"$500,000","$1,000,000"
2547.37,"$2,000","$5,000"
58.94,$1,"$1,000"
2119.1,"$2,000","$5,000"
7030.39,"$5,000","$25,000"
7439.17,"$5,000","$25,000"
205.02,$1,"$1,000"
-232.17,"($99,000)",$1
1844.93,"$1,000","$2,000"
2249.52,"$2,000","$5,000"
912.01,$1,"$1,000"
1463.11,"$1,000","$2,000"
16361.04,"$5,000","$25,000"
27267.49,"$25,000","$100,000"
43068.43,"$25,000","$100,000"
4876.42,"$2,000","$5,000"
30880.05,"$25,000","$100,000"
275866.36,"$250,000","$500,000"
360.19,$1,"$1,000"
96583.4,"$25,000","$100,000"
474.2,$1,"$1,000"
64464.4,"$25,000","$100,000"
2526.63,"$2,000","$5,000"
3301.36,"$2,000","$5,000"
1782.89,"$1,000","$2,000"
14218.6,"$5,000","$25,000"
240.66,$1,"$1,000"
735.44,$1,"$1,000"
287431.8,"$250,000","$500,000"
9516.46,"$5,000","$25,000"
435.72,$1,"$1,000"
121.78,$1,"$1,000"
108940.1,"$100,000","$250,000"
5674.61,"$5,000","$25,000"
70.6,$1,"$1,000"
3.37,$1,"$1,000"
44.66,$1,"$1,000"
391.53,$1,"$1,000"
5266.01,"$5,000","$25,000"
84.01,$1,"$1,000"
1310.13,"$1,000","$2,000"
15776.83,"$5,000","$25,000"
83.88,$1,"$1,000"
208.97,$1,"$1,000"
849.12,$1,"$1,000"
7248.73,"$5,000","$25,000"
41534.17,"$25,000","$100,000"
14140.09,"$5,000","$25,000"
27468.6,"$25,000","$100,000"
14184,"$5,000","$25,000"
367.46,$1,"$1,000"
35485.28,"$25,000","$100,000"
10909.78,"$5,000","$25,000"
1140.56,"$1,000","$2,000"
18057.11,"$5,000","$25,000"
121.68,$1,"$1,000"
12513.48,"$5,000","$25,000"
31832.54,"$25,000","$100,000"
1462.11,"$1,000","$2,000"
3632.67,"$2,000","$5,000"
4264.08,"$2,000","$5,000"
254.48,$1,"$1,000"
520.1,$1,"$1,000"
1859.7,"$1,000","$2,000"
2228.34,"$2,000","$5,000"
109996.15,"$100,000","$250,000"
15966.76,"$5,000","$25,000"
6866.72,"$5,000","$25,000"
182595.52,"$100,000","$250,000"
6336.55,"$5,000","$25,000"
2795.78,"$2,000","$5,000"
5227.3,"$5,000","$25,000"
4225.08,"$2,000","$5,000"
280.56,$1,"$1,000"
42393.45,"$25,000","$100,000"
13637.76,"$5,000","$25,000"
15902.56,"$5,000","$25,000"
29728.33,"$25,000","$100,000"
86228.5,"$25,000","$100,000"
14055.74,"$5,000","$25,000"
4933.43,"$2,000","$5,000"
3860.19,"$2,000","$5,000"
376541.26,"$250,000","$500,000"
819.51,$1,"$1,000"
1189.77,"$1,000","$2,000"
52967.97,"$25,000","$100,000"
3352.37,"$2,000","$5,000"
109013.76,"$100,000","$250,000"
53106.48,"$25,000","$100,000"
6600,"$5,000","$25,000"
7972.05,"$5,000","$25,000"
38380.94,"$25,000","$100,000"
7889.97,"$5,000","$25,000"
39982.39,"$25,000","$100,000"
2725.05,"$2,000","$5,000"
17429.2,"$5,000","$25,000"
1818.7,"$1,000","$2,000"
1469.15,"$1,000","$2,000"
29523.12,"$25,000","$100,000"
-8173.18,"($99,000)",$1
2811.89,"$2,000","$5,000"
9311.28,"$5,000","$25,000"
2945.23,"$2,000","$5,000"
674000,"$500,000","$1,000,000"
336.85,$1,"$1,000"
535.97,$1,"$1,000"
29616.6,"$25,000","$100,000"
419535.27,"$250,000","$500,000"
8818.4,"$5,000","$25,000"
9098.75,"$5,000","$25,000"
8177.85,"$5,000","$25,000"
6061.44,"$5,000","$25,000"
3266.6,"$2,000","$5,000"
3753.37,"$2,000","$5,000"
10754.94,"$5,000","$25,000"
5962.64,"$5,000","$25,000"
727.65,$1,"$1,000"
6404.84,"$5,000","$25,000"
8174.11,"$5,000","$25,000"
10385,"$5,000","$25,000"
29970.5,"$25,000","$100,000"
1999.96,"$1,000","$2,000"
2967.2,"$2,000","$5,000"
339.76,$1,"$1,000"
26033.29,"$25,000","$100,000"
24159.98,"$5,000","$25,000"
4770.25,"$2,000","$5,000"
441.08,$1,"$1,000"
221.38,$1,"$1,000"
1068.06,"$1,000","$2,000"
407.3,$1,"$1,000"
237.1,$1,"$1,000"
31245.5,"$25,000","$100,000"
70.82,$1,"$1,000"
1887.53,"$1,000","$2,000"
2170.46,"$2,000","$5,000"
186.28,$1,"$1,000"
3406.96,"$2,000","$5,000"
-4601.83,"($99,000)",$1
14402.1,"$5,000","$25,000"
815.01,$1,"$1,000"
1304.48,"$1,000","$2,000"
43908.65,"$25,000","$100,000"
2420.64,"$2,000","$5,000"
760.14,$1,"$1,000"
763.54,$1,"$1,000"
35.42,$1,"$1,000"
4913.86,"$2,000","$5,000"
5480.84,"$5,000","$25,000"
2423.43,"$2,000","$5,000"
125.32,$1,"$1,000"
246.6,$1,"$1,000"
4576.63,"$2,000","$5,000"
17281.4,"$5,000","$25,000"
1865.79,"$1,000","$2,000"
4382.97,"$2,000","$5,000"
4181.8,"$2,000","$5,000"
32083.53,"$25,000","$100,000"
-1450,"($99,000)",$1
7.78,$1,"$1,000"
3070.27,"$2,000","$5,000"
9.71,$1,"$1,000"
26.5,$1,"$1,000"
107.72,$1,"$1,000"
85.29,$1,"$1,000"
119.06,$1,"$1,000"
11293.54,"$5,000","$25,000"
1789.31,"$1,000","$2,000"
175.46,$1,"$1,000"
-356.1,"($99,000)",$1
892.19,$1,"$1,000"
686.59,$1,"$1,000"
1296.26,"$1,000","$2,000"
7.7,$1,"$1,000"
1611.9,"$1,000","$2,000"
344.26,$1,"$1,000"
631.23,$1,"$1,000"
233.88,$1,"$1,000"
41,$1,"$1,000"
29210.7,"$25,000","$100,000"
19869.52,"$5,000","$25,000"
77.58,$1,"$1,000"
7.87,$1,"$1,000"
1704,"$1,000","$2,000"
361525.73,"$250,000","$500,000"
66684.56,"$25,000","$100,000"
117443.62,"$100,000","$250,000"
4290.85,"$2,000","$5,000"
11471.62,"$5,000","$25,000"
3083.77,"$2,000","$5,000"
622906.53,"$500,000","$1,000,000"
23394.38,"$5,000","$25,000"
237861.69,"$100,000","$250,000"
112052.71,"$100,000","$250,000"
366105.86,"$250,000","$500,000"
9216.84,"$5,000","$25,000"
730.67,$1,"$1,000"
40435.64,"$25,000","$100,000"
40307.57,"$25,000","$100,000"
20163.84,"$5,000","$25,000"
31728.23,"$25,000","$100,000"
44593.47,"$25,000","$100,000"
82667.41,"$25,000","$100,000"
567818.49,"$500,000","$1,000,000"
185734.61,"$100,000","$250,000"
422094.01,"$250,000","$500,000"
355926.77,"$250,000","$500,000"
18502.33,"$5,000","$25,000"
101354.98,"$100,000","$250,000"
442551.21,"$250,000","$500,000"
131243.25,"$100,000","$250,000"
13362.08,"$5,000","$25,000"
129023.95,"$100,000","$250,000"
47199.39,"$25,000","$100,000"
4087.15,"$2,000","$5,000"
88897.44,"$25,000","$100,000"
17142.2,"$5,000","$25,000"
599291.48,"$500,000","$1,000,000"
95846.53,"$25,000","$100,000"
206659.2,"$100,000","$250,000"
14676.19,"$5,000","$25,000"
28880.31,"$25,000","$100,000"
78603.99,"$25,000","$100,000"
37237.57,"$25,000","$100,000"
922.02,$1,"$1,000"
8179.21,"$5,000","$25,000"
1621374.4,"$1,000,000","$9,999,999"
9725.04,"$5,000","$25,000"
88308.45,"$25,000","$100,000"
126606.28,"$100,000","$250,000"
14837.71,"$5,000","$25,000"
889,$1,"$1,000"
52406.43,"$25,000","$100,000"
5653.54,"$5,000","$25,000"
64136.55,"$25,000","$100,000"
21438.45,"$5,000","$25,000"
8168.53,"$5,000","$25,000"
28578,"$25,000","$100,000"
21525.43,"$5,000","$25,000"
45841.65,"$25,000","$100,000"
14568.8,"$5,000","$25,000"
21644.18,"$5,000","$25,000"
41067.2,"$25,000","$100,000"
8971.65,"$5,000","$25,000"
77088.61,"$25,000","$100,000"
5090.45,"$5,000","$25,000"
123252.12,"$100,000","$250,000"
3254.55,"$2,000","$5,000"
46839.24,"$25,000","$100,000"
85583.95,"$25,000","$100,000"
48924.31,"$25,000","$100,000"
203.27,$1,"$1,000"
1624.49,"$1,000","$2,000"
5315.54,"$5,000","$25,000"
59956.62,"$25,000","$100,000"
10493.32,"$5,000","$25,000"
259586.05,"$250,000","$500,000"
13962.2,"$5,000","$25,000"
947.64,$1,"$1,000"
10359.57,"$5,000","$25,000"
14648.12,"$5,000","$25,000"
11155.13,"$5,000","$25,000"
9274.53,"$5,000","$25,000"
54322.09,"$25,000","$100,000"
719997.01,"$500,000","$1,000,000"
45469.25,"$25,000","$100,000"
145457.09,"$100,000","$250,000"
2276.1,"$2,000","$5,000"
7415.4,"$5,000","$25,000"
29891.17,"$25,000","$100,000"
200177.44,"$100,000","$250,000"
13871.69,"$5,000","$25,000"
20545.59,"$5,000","$25,000"
5983.91,"$5,000","$25,000"
2811.4,"$2,000","$5,000"
10912.16,"$5,000","$25,000"
3976.8,"$2,000","$5,000"
73756.38,"$25,000","$100,000"
118513.19,"$100,000","$250,000"
1899.9,"$1,000","$2,000"
3488.79,"$2,000","$5,000"
7261.64,"$5,000","$25,000"
11202.92,"$5,000","$25,000"
5750.06,"$5,000","$25,000"
10409.81,"$5,000","$25,000"
6679.16,"$5,000","$25,000"
29489.51,"$25,000","$100,000"
230714.97,"$100,000","$250,000"
16065.9,"$5,000","$25,000"
5557.99,"$5,000","$25,000"
164678.05,"$100,000","$250,000"
38573.1,"$25,000","$100,000"
16369.2,"$5,000","$25,000"
337216.09,"$250,000","$500,000"
243856.18,"$100,000","$250,000"
55992.74,"$25,000","$100,000"
17008.37,"$5,000","$25,000"
43687.35,"$25,000","$100,000"
43912.22,"$25,000","$100,000"
5333.77,"$5,000","$25,000"
366.14,$1,"$1,000"
27887.4,"$25,000","$100,000"
65095.64,"$25,000","$100,000"
38048.95,"$25,000","$100,000"
305.42,$1,"$1,000"
445.64,$1,"$1,000"
15645.61,"$5,000","$25,000"
273982.97,"$250,000","$500,000"
76126.17,"$25,000","$100,000"
48808.2,"$25,000","$100,000"
65508.75,"$25,000","$100,000"
3505.35,"$2,000","$5,000"
65910.65,"$25,000","$100,000"
9493.52,"$5,000","$25,000"
35680.23,"$25,000","$100,000"
6762.12,"$5,000","$25,000"
